gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
MUC2,46.9823855080588,25.3798815672354,1.51856909649467,5.00537678091174e-63,7.91550284133383e-59
GNB2L1,295.665373565398,28.4873407713644,2.1691648761044,8.30408910942256e-40,6.56604325882042e-36
SF3B14,44.7493342896645,25.1684899080362,1.92366772908189,1.95176226828342e-39,6.84241760507685e-36
MYEOV2,46.8735166600976,25.2688393603495,1.93460909483093,2.59608610284944e-39,6.84241760507685e-36
C19orf10,51.2248843754902,25.4585935443478,1.94912446423717,2.56575905030715e-39,6.84241760507685e-36
NHP2L1,47.1073877876205,25.3205710064304,1.93276635113252,1.54536599210943e-39,6.84241760507685e-36
IL8,34.9635128400317,24.3169520985786,1.92544234185409,7.24831643501832e-37,1.63749823004828e-33
TEN1,19.9886881355238,7.27496684449097,0.600862017348886,1.10062406322874e-34,2.17565861698742e-31
IGHV1-69D,15.028179228489,23.5501007529078,1.96161618750368,1.69404917164331e-33,2.97663262226303e-30
C19orf77,57.3245787217974,23.3920774023993,1.98185082409754,1.91548387260739e-32,3.02914619614133e-29
IGJ,140.119354167833,24.8857528766219,2.13761717848673,1.21456145785714e-31,1.74609771768661e-28
TOMM5,64.9491132744879,5.93230414731105,0.516493847073657,3.82899010180522e-31,5.04597078916232e-28
MLN,35.2283895094846,24.8375011728473,2.31758835498391,4.03807653527845e-27,4.91216479453027e-24
GCG,49.4245032624177,26.7621567471012,2.54509244449893,3.16104911441698e-26,3.57063076395644e-23
STK19,10.7676998173955,5.77679087543477,0.575246488154095,2.60718541974124e-24,2.74866868185253e-21
USP18,8.28443462216284,6.71818058899721,0.721707187854714,2.02201728627538e-21,1.99851133532243e-18
HEPH,11.5227166896152,7.0258488065288,0.768040662607327,7.44029481743031e-21,6.85172429270097e-18
HOXB7,15.173694013195,7.0737450167236,0.77400373218697,7.79885147771706e-21,6.85172429270097e-18
MALL,41.7606199984293,7.10906641555881,0.78441688277402,1.53376891241465e-20,1.2765800832066e-17
CDH17,43.9829697819573,7.78942676138212,0.873817948719049,3.47809079272631e-20,2.75012638980869e-17
ANXA13,20.9793669025498,7.99369706454056,0.907581474473582,7.44844043101619e-20,5.60903033219477e-17
MUC17,39.8087223411542,7.73105769253334,0.881509227300874,1.31940974268286e-19,9.48415712308488e-17
ANPEP,58.8679992922181,7.97152113889182,0.912262479349329,1.40540956623621e-19,9.66310733933015e-17
HKDC1,14.493435751963,6.68124473080185,0.768371869162832,5.45347660116901e-19,3.59338662378695e-16
CHMP4A,36.2196911685269,3.51929680383982,0.400764804772708,8.61591875015351e-19,5.4500855645971e-16
TRIM15,15.5211749783615,5.15949793850482,0.593065992629423,1.14103154698363e-18,6.9401049553843e-16
HOTAIRM1,9.73430015673389,5.89965120239623,0.686104969324779,1.95731892060726e-18,1.14640894112901e-15
HOXA10,10.7600396093715,6.92679677161681,0.817146417511093,3.10372130504085e-18,1.75293745421129e-15
LSM12,25.9694097821877,3.9037573644726,0.453457457540942,3.8725948535059e-18,2.11176603494284e-15
HLA-DRB5,64.2613521368584,6.97970712139686,0.827733854776459,4.38120911424887e-18,2.30948136442439e-15
NOTCH2NL,4.6113110747457,6.19365758002452,0.778531997355804,3.6642441588496e-16,1.86923732671121e-13
CCL15,10.6179218969349,6.79097217518652,0.861160420159964,4.48870590296629e-16,2.21826234842216e-13
TFAP2A,11.7125903972689,5.4236938719186,0.683295396485305,6.23377165239824e-16,2.98729893669775e-13
BOLA2B,11.3069913904765,5.24345695039824,0.662825427660042,8.37946780376038e-16,3.89743834849019e-13
TM4SF20,34.1660204693318,8.1740507511881,1.07101535701235,1.01959938021421e-15,4.54488981468753e-13
RPUSD4,8.96411998770872,-1.96109802321675,0.274271136787712,1.03462775596782e-15,4.54488981468753e-13
DMBT1,52.9916786855581,7.81651702939762,1.02198896356045,1.30100921203477e-15,5.56058369705888e-13
CDA,18.5717141961914,7.55592064218177,1.00256930942342,3.86595684794432e-15,1.60884846298399e-12
LTB,21.8031295355979,6.1081914304808,0.801034238406915,5.19560837988493e-15,2.1067525876795e-12
XYLT2,14.7410398446285,-3.66032692339033,0.473646155550973,5.47534820740725e-15,2.16467891379846e-12
TRIM54,13.1268834303407,7.30343483978555,0.971958851371977,5.62935937445441e-15,2.17128510116151e-12
ONECUT2,25.7619058370352,4.92157609326591,0.64506283984281,8.78762539096812e-15,3.30875018887547e-12
S100A10,1249.23065826696,2.2047476287708,0.319958273442446,1.92660558772638e-14,7.08542808472208e-12
RASA4,4.75385734027063,5.91654555957641,0.795681036131108,2.44500591601351e-14,8.78227994688158e-12
PI3,193.410260355478,6.24013516193326,0.842170478081223,2.49906789939086e-14,8.78227994688158e-12
H3F3A,815.959404979482,3.24018018146733,0.432869354329262,2.59391950788532e-14,8.91744415167359e-12
EEF2,456.497967011206,-1.18099658703649,0.162879118462566,2.74809640170598e-14,9.24646733969752e-12
UPP1,31.1132379390725,3.43327267829645,0.458171971407308,2.96303386101935e-14,9.76196197461667e-12
CLRN3,11.7479295866837,4.73837819050821,0.637357952396526,4.18930555810736e-14,1.3520342468553e-11
TUBE1,7.67657163875378,-2.12548129501728,0.31904894196762,6.24606449191376e-14,1.97550527750248e-11
HIST1H2BK,31.529979077088,5.13812499504878,0.705140379619245,1.07667380603917e-13,3.33853324876539e-11
MTRNR2L8,76.5805764874052,6.33820163744932,0.892267160390002,2.24377968754146e-13,6.82367922668858e-11
PPP1R14D,12.0610733195238,4.85121260843789,0.675349550021226,2.58410666917676e-13,7.71038922006817e-11
F12,12.7533315167645,3.72281005416432,0.519914744129443,3.79223201486202e-13,1.11056216820422e-10
GCSH,22.3955500340659,2.76922371570715,0.402784978660847,5.0262196685001e-13,1.44517523341201e-10
CLDN7,173.840713137846,3.48870302648824,0.492921989291103,6.15808371521329e-13,1.73899885486398e-10
MYEOV,21.2342352508708,4.16793908719206,0.589268029301972,7.02697202876536e-13,1.94955325724378e-10
PRAP1,51.9322130865034,6.00395500801895,0.862043668251085,7.28360735828188e-13,1.98591322006672e-10
CLDN1,16.783878733515,4.28575266256353,0.612924950281124,1.21717357127857e-12,3.26243777223717e-10
CDX1,16.5022314057188,6.03681053032905,0.885688402213461,2.02578280051815e-12,5.33928820123234e-10
CLDN3,126.739780921233,4.6726720265389,0.681044177944001,2.73336907149969e-12,7.08614729454035e-10
FABP2,19.8438872494988,7.58585573648793,1.14778520967025,2.77997272645384e-12,7.09072398324854e-10
RGMB,17.396498508876,-3.22824367699067,0.483106994674195,6.4399408137877e-12,1.59126912545685e-09
CLN3,8.13180142091444,5.36985479124706,0.801830253822641,6.39486717908369e-12,1.59126912545685e-09
AP001816.1,5.30957785673366,6.18897353085472,0.947375306291259,1.26623566025171e-11,3.03397738351826e-09
C11orf86,13.2344829862637,6.04014254666025,0.922502770834821,1.24809144554867e-11,3.03397738351826e-09
MDFI,9.20528958438364,3.247041017469,0.494006351008975,1.33091003573333e-11,3.1413449709085e-09
DEFA5,11.7053094340904,22.7891983307984,3.61306820209112,1.78161843113851e-11,4.14331086323887e-09
GDA,14.0695678477838,4.65049448194106,0.711753365912541,2.52693132612443e-11,5.79143362193214e-09
CTDSPL,18.0374704882839,-2.08786492661224,0.367178260079778,2.92707270780913e-11,6.61267540018479e-09
IL32,354.306119161644,3.40093658747433,0.52506548948019,2.99992712407798e-11,6.68180951269988e-09
IFI30,13.9639293434487,7.14596356872551,1.13540914797401,3.13867635757435e-11,6.89375387759456e-09
CYB5D1,8.15395887747147,6.22706102495595,0.978647113629705,3.76082215153489e-11,8.14707417868119e-09
EEF1AKMT2,6.23528846806068,6.28347498379848,0.998624130493465,5.72868401494607e-11,1.22423525692375e-08
TM6SF2,6.36487169791817,5.68378147159152,0.898311234399973,6.35021499179747e-11,1.3389639984038e-08
SRCAP,15.6420792708902,4.0770953755779,0.639026284433143,7.55761315474945e-11,1.572580189858e-08
TFF3,674.615695599434,4.22913427778789,0.663250715851866,7.6886636095884e-11,1.57907177041599e-08
MTMR11,15.9871821046149,2.8074104124994,0.467589449741762,1.17379771371876e-10,2.3797996211216e-08
SPINK4,198.853123437082,6.5587472157141,1.0673652117574,1.22015480911334e-10,2.4300208251916e-08
SMCR5,3.77897064630998,5.6451633253881,0.906644716409649,1.2293010371527e-10,2.4300208251916e-08
SMIM27,5.81170247016124,6.10513032618668,0.988217311678123,1.30790235895191e-10,2.55347751906981e-08
CEACAM6,146.367141403644,4.72718099285554,0.754836643870598,1.4220928646625e-10,2.74255811728936e-08
DGLUCY,12.7197332736929,6.76233424242602,1.11233581550395,1.59242418836051e-10,3.03404772466665e-08
ZNF22,16.8035199032,-1.2502243235521,0.212975869909142,1.73919357850698e-10,3.27423895839398e-08
CDK11A,27.0941326139301,3.27809734310292,0.53278529028718,1.767720866292e-10,3.28879267994608e-08
KRT17,75.6640329407265,7.12707595571984,1.18582222331471,1.8458486071333e-10,3.39421510153558e-08
HLA-DQA1,28.5804168978973,4.51222424207151,0.725504500522847,1.97189985359575e-10,3.58432463043255e-08
CSKMT,31.7581298275128,7.0736188578527,1.17808989056929,1.99639849014401e-10,3.58761883217471e-08
NPIPB5,12.2393672259122,6.6075234610858,1.09137972822419,2.06490452602841e-10,3.66903372748463e-08
KRT16,11.2822883727651,6.86065951030726,1.13987857357943,2.14938290088344e-10,3.77670457717452e-08
RPL17,482.914358492249,3.92919741050446,0.633182193372535,2.1991257240396e-10,3.82164551647937e-08
CXCL1,72.5778432926604,3.66045733776247,0.593009290246782,2.39906645180741e-10,4.12378661618287e-08
ALDH6A1,18.3990487167969,-2.21709773759687,0.411105791800722,2.59467332822315e-10,4.41206064650762e-08
CPS1,16.8363253215565,5.96032120790414,0.980884813990771,2.66078675860111e-10,4.47634912771468e-08
EIF3J-DT,6.39263540019012,6.26428858846119,1.03868356414384,2.95714857272932e-10,4.92256289780437e-08
AC004982.2,6.26671444218739,6.23011120255546,1.03312565405278,3.02960647271775e-10,4.93919554222253e-08
MRE11,7.80061375641987,6.3130635164578,1.04807740831165,3.00622988636976e-10,4.93919554222253e-08
CDKN2A,34.0274183055644,4.89717411250609,0.799029001584547,3.09927908870589e-10,5.00122443967296e-08
PTPRR,6.46169461570842,6.29974407244927,1.04922490524424,3.40782994102241e-10,5.38914226873283e-08
ATP2B1-AS1,8.38798844013511,6.55987694910806,1.09743863156131,3.40006281396776e-10,5.38914226873283e-08
ANAPC16,114.150636651543,-1.02079465464621,0.171334627680334,3.74093769441041e-10,5.85734541578279e-08
LAIR2,2.32401933093728,5.25844824882662,0.866310406555241,3.88390795301279e-10,5.97070552557233e-08
AC060780.1,8.25747637507761,6.4844995344099,1.08739895305643,3.88884955820128e-10,5.97070552557233e-08
TMEM250,5.3457880491151,6.09747582951484,1.0175376742984,4.12165987947872e-10,6.26730089750735e-08
MIR29B2CHG,12.4736688162125,6.93638833672804,1.17691119743703,4.30365045611622e-10,6.42055927481339e-08
AL392172.1,4.47598190687434,5.87740638771524,0.978590870420593,4.28087130859627e-10,6.42055927481339e-08
AL445524.1,8.67189321639465,6.25026604532203,1.0494757828189,4.70967648327564e-10,6.96063774827299e-08
